Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Clumsy Rush,RedDeerGames,RedDeerGames,23/Dez/2019,,[2759]
The Adventures of Elena Temple: Definitive Edition,GrimTalin,GrimTalin,24/Dez/2019,,[2760]
Drawngeon: Dungeons of Ink and Paper,,Drageus Games,24/Dez/2019,,[2761]
Funny Bunny Adventures,,Drageus Games,24/Dez/2019,,[2762]
Straimium Immortaly,,Digerati,25/Dez/2019,,[2763]
XenoRaptor,,Digerati,25/Dez/2019,,[2764]
Tamashii,,Digerati,25/Dez/2019,,[2765]
Sheep Patrol,Vivid Games,QubicGames,25/Dez/2019,,[2766]
Barbarous: Tavern of Emyr,SQRT3,QubicGames,25/Dez/2019,,[2767]
Demon Pit,,Digerati,25/Dez/2019,,[2768]
8-Ball Pocket,SuperPowerUpGames,SuperPowerUpGames,25/Dez/2019,,[2769]
Roll'd,Forever Entertainment,Forever Entertainment,26/Dez/2019,,[2770]
Akuto: Showdown,Hut 90,QubicGames,26/Dez/2019,,[2771]
Gunma's Ambition: You and me are Gunma,G-MODE,G-MODE,26/Dez/2019,,[2772]
Nurse Love Addiction,,DEGICA,26/Dez/2019,,[2773]
Croc's World 3,,Sprakelsoft,26/Dez/2019,,[2774]
Nurse Love Syndrome,,DEGICA,26/Dez/2019,,[2775]
BATTOJUTSU,,CAERUX,30/Dez/2019,,[2776]
Link-a-Pix Deluxe,Lightwood Games,Lightwood Games,02/Jan/2020,,[2777]
Invisible Fist,Failcore,Pineapple Works,06/Jan/2020,,[2778]
Ultimate Racing 2D,Applimazing,Applimazing,06/Jan/2020,,[2779]
Blackmoor 2,Four Fats,Four Fats,06/Jan/2020,,[2780]
Nicky - The Home Alone Golf Ball,QUByte Interactive,QUByte Interactive,07/Jan/2020,,[2781]
THOTH,,Carlsen Games,09/Jan/2020,,[2782]
Sir Eatsalot,Behind The Stone,Behind The Stone,09/Jan/2020,,[2783]
Sea King Hunter,Game Attack,COSEN,09/Jan/2020,,[2784]
140,Carlsen Games,Carlsen Games,09/Jan/2020,,[2785]
Drunk-Fu: Wasted Masters,,Rust0 Games,10/Jan/2020,,[2786]
Technosphere,Adaptive Game,Ultimate Games,10/Jan/2020,,[2787]
Extreme Trucks Simulator,OviLex Soft,SC Ovilex Soft,10/Jan/2020,,[2788]
Aborigenus,,Drageus Games,10/Jan/2020,,[2789]
Jump Gunners,,BoomBox,13/Jan/2020,,[2790]
Super Mega Space Blaster Special Turbo,Bare Knuckle Development,Bare Knuckle Development,14/Jan/2020,,[2791]
Dungeon Shooting,Sims,Starsign,14/Jan/2020,,[2792]
Robots under attack!,Dmytro Derybas,Dmytro Derybas,14/Jan/2020,,[2793]
The Station,The Station,The Station Game,14/Jan/2020,,[2794]
Crayon Shinchan The Storm Called Flaming Kasukabe Runner!!,,Bushiroad,14/Jan/2020,,[2795]
Puzzle & Dragons Gold,,GungHo Online,14/Jan/2020,,[2796]
Atelier Ayesha: The Alchemist of Dusk DX,,Koei Tecmo America,14/Jan/2020,,[2797][2798]
Atelier Shallie: Alchemists of the Dusk Sea DX,,Koei Tecmo America,14/Jan/2020,,[2799][2798]
Atelier Escha & Logy: Alchemists of the Dusk Sky DX,,Koei Tecmo America,14/Jan/2020,,[2800][2798]
Squidlit,Squidlit Ink,Squidlit Ink,14/Jan/2020,,[2801]
Curious Cases,OnSkull Games,OnSkull Development,14/Jan/2020,,[2802]
Demolish & Build 2018,Ultimate Games,Ultimate Games,15/Jan/2020,,[2803]
Planetary Defense Force,Blue Sunset Games,Blue Sunset Games,15/Jan/2020,,[2804]
Doggie Ninja The Burning Strikers,,Toydea,16/Jan/2020,,[2805]
Without Escape,Bumpy Trail Games,eastasiasoft,16/Jan/2020,,[2806]
Dreamwalker: Never Fall Asleep,Artifex Mundi,Artifex Mundi,16/Jan/2020,,[2807]
Anime Studio Story,,Kairosoft,16/Jan/2020,,[2808]
To the Moon,Freebird Games,X.D. Network,16/Jan/2020,,[2809]
Seek Hearts,Exe Create,Kemco,16/Jan/2020,,[2810]
Witch & Hero 2,,Flyhigh Works,16/Jan/2020,,[2811]
Stories Untold,,Devolver Digital,16/Jan/2020,,[2812]
Jurassic Excite,,Big Boys Studio,16/Jan/2020,,[2813]
Self,,indienova,16/Jan/2020,,[2814]
Where Angels Cry: Tears of the Fallen Collector's Edition,Cateia Games,Ocean Media,16/Jan/2020,,[2815]
Super Crush KO,Vertex Pop,Vertex Pop,16/Jan/2020,,[2816]
Maitetsu:Pure Station,,Circle Ent.,16/Jan/2020,,[2817]
"Sorry, James",Konstructors Entertainment,Nestor Yavorskyy,16/Jan/2020,,[2818]
Spider Solitaire,,Baltoro Games,17/Jan/2020,,[2819]
Lydia,Platonic Partnership,Nakana.io,17/Jan/2020,,[2820]
Tokyo Mirage Sessions #FE Encore,,Nintendo,17/Jan/2020,BR,[2821]
So Many Me: Extended Edition,Starcaster Games,Starcaster Games,17/Jan/2020,,[2822]
Red Bow,Stranga Games,Ratalaika Games,17/Jan/2020,,[2823]
Refreshing Sideways Puzzle Ghost Hammer,CAERUX,CAERUX,20/Jan/2020,,[2824]
It's Raining Fists and Metal,,Corvostudio di Amadei Marco,20/Jan/2020,,[2825]
The Walking Dead: A New Frontier,Telltale Games,Skybound Games,21/Jan/2020,,[2826]
The Walking Dead: Season Two,Telltale Games,Skybound Games,21/Jan/2020,,[2827]
Psikyo Shooting Stars Alpha,,NIS America,21/Jan/2020,,[2828]
Caveman Chuck: Prehistoric Adventure,,PrimeBit Games,21/Jan/2020,,[2829]
Ember,,N-Fusion,21/Jan/2020,,[2830]
"Soccer, Tactics & Glory",Raylight Games \ Creoteam,Toplitz Productions,22/Jan/2020,,[2831]
Classic Snake Adventures,Crazysoft Limited,Crazysoft,23/Jan/2020,,[2832]
Dual Brain Vol.2: Reflex,,D-O,23/Jan/2020,,[2833]
Strike! Ten Pin Bowling,Touch Mechanics,Touch Mechanics,23/Jan/2020,,[2834]
Oddworld: Stranger's Wrath,"Oddworld Inhabitants, Inc.","Oddworld Inhabitants, Inc.",23/Jan/2020,,[2835]
SpeedRunners,DoubleDutch Games,tinyBuild Games,23/Jan/2020,,[2836]
OmoTomO,Forever Entertainment,Forever Entertainment,23/Jan/2020,,[2837]
Asemblance,,Nilo Studios,23/Jan/2020,,[2838]
Jewel Wars,Tom Create,Tom Create,23/Jan/2020,,[2839]
PuPaiPo Space Deluxe,BolHut,BolHut,23/Jan/2020,,[2840]
Just Glide,,Cool Small Games,23/Jan/2020,,[2841]
Escape from Chernobyl,Atypical Games,Atypical Games,23/Jan/2020,,[2842]
"Warhammer 40,000: Space Wolf",HeroCraft,HeroCraft,23/Jan/2020,,[2843]
198X,Hi-Bit Studios,8-4,23/Jan/2020,,[2844]
Sinless,Forever Entertainment,Forever Entertainment,23/Jan/2020,,[2845]
Mosaic,Krillbite,Raw Fury,23/Jan/2020,,[2846]
Sleep Attack,,Bad Seed,23/Jan/2020,,[2847]
Worlds of Magic: Planar Conquest,Wastelands Interactive,Ultimate Games,24/Jan/2020,,[2848]
Orn: The Tiny Forest Sprite,Five12 Games,Five12 Games,24/Jan/2020,,[2849]
Lumini,Speelbaars,2Awesome Studio,24/Jan/2020,,[2850]
FoxyLand 2,BUG-Studio,Ratalaika Games,24/Jan/2020,,[2851]
Super Tennis,Ultimate Games,Ultimate Games,27/Jan/2020,,[2852]
Motorcycle Mechanic Simulator,Pyramid Games,Ultimate Games,27/Jan/2020,,[2853]
Kentucky Route Zero: TV Edition,Cardboard Computer,Annapurna Interactive,28/Jan/2020,,[2854]
Actual Sunlight,WZO Games,WZOGI,28/Jan/2020,,[2855]
It Came From Space and Ate Our Brains,Triangle Studios BV,All in! Games,28/Jan/2020,,[2856]
Thronebreaker: The Witcher Tales,CD Projekt,CD Projekt,28/Jan/2020,,[2857]
Code Shifter,A.R.C.,Arc System Works,29/Jan/2020,,[2858]
Music Racer,Sometimes You,Sometimes You,29/Jan/2020,,[2859]
Horse Farm,Independent Arts Software,upjers,29/Jan/2020,,[2860]
Coffee Talk,Toge Productions,,29/Jan/2020,,[2861]
Arc of Alchemist,,Idea Factory,30/Jan/2020,,[2862]
Skellboy,Umaiki Games,Fabraz,30/Jan/2020,,[2863]
Bookbound Brigade,Digital Tales,Intragames,30/Jan/2020,,[2864]
Sisters Royale: Five Sisters Under Fire,AlfaSystem,Chorus Worldwide Games,30/Jan/2020,,[2865]
Phar Lap - Horse Racing Challenge,PikPok,Tru Blu Games,30/Jan/2020,,[2866]
Never Again,Primary Games,Vyacheslav Grivorev,30/Jan/2020,,[2867]
Speaking Simulator,Affable Games,Affable Games,30/Jan/2020,,[2868]
Eclipse: Edge of Light,White Elk,White Elk,30/Jan/2020,,[2869]
Battleground,,Sabec,30/Jan/2020,,[2870]
UORiS DX,,Regista,30/Jan/2020,,[2871]
Ascendant Hearts,Visualnoveler,Visualnoveler,30/Jan/2020,,[2872]
Sparkle 4 Tales,Megapixel Studio S. A.,Forever Entertainment,30/Jan/2020,,[2873]
Prison Princess,,qureate,30/Jan/2020,,[2874]
Aviary Attorney: Definitive Edition,,Vertical Reach,30/Jan/2020,,[2875]
Not Tonight: Take Back Control Edition,PanicBarn,No More Robots,31/Jan/2020,,[2876]
Ash of Gods: Redemption,Aurum Dust,Koch Media,31/Jan/2020,,[2877]
Reknum,,JanduSoft,31/Jan/2020,,[2878]
Willy Jetman: Astromonkey's Revenge,Last Chicken Games,BLG Publishing,31/Jan/2020,,[2879]
Orbitblazers,ogsoftgames,ogsoftgames,31/Jan/2020,,[2880]
Super Battle Cards,,Baltoro Games,31/Jan/2020,,[2881]
Hypercharge Unboxed,Digital Cybercherries,Digital Cybercherries,31/Jan/2020,,[2882]
Milo's Quest,,Ratalaika Games,31/Jan/2020,,[2883]
Touchdown Pinball,,SuperPowerUpGames,31/Jan/2020,,[2884]
Bridge Constructor Ultimate Edition,ClockStone,Headup Games,31/Jan/2020,,[2885]
Please The Gods,Spawn Point OSK,Ultimate Games,03/Fev/2020,,[2886]
Hair Mower 3D,,Rising Win Tech,03/Fev/2020,,[2887]
Monster Energy Supercross - The Official Videogame 3,MileStone,MileStone,04/Fev/2020,,[2888]
The Dark Crystal: Age of Resistance Tactics,BonusXP,En Masse Entertainment,04/Fev/2020,BR,[2889]
Wide Ocean Big Jacket,Turnfollow,Tender Claws,04/Fev/2020,,[2890]
7th Sector,Sometimes You,Sometimes You,05/Fev/2020,,[2891]
Voxel Pirates,SAT-BOX,SAT-BOX,06/Fev/2020,,[2892]
Kunai,TurtleBlaze,The Arcade Crew,06/Fev/2020,,[2893]
Knights and Bikes,Foam Sword Games,Double Fine,06/Fev/2020,BR,[2894]
The Man With The Ivory Cane,Cateia Games,Ocean Media,06/Fev/2020,,[2895]
Akuarium,,SC Fan Studio,06/Fev/2020,,[2896]
Rolling Sky 2,Rising Win Tech,Rising Win Tech,06/Fev/2020,,[2897]
Code: Realize - Guardian of Rebirth,Idea Factory,Aksys Games,06/Fev/2020,,[2898]
Nerved,Playstige Interactive,Playstige Interactive,06/Fev/2020,,[2899]
Shiny Ski Resort,,Kairosoft,06/Fev/2020,,[2900]
Just a Phrase by POWGI,Lightwood Games,Lightwood Games,06/Fev/2020,,[2901]
SEN: Seven Eight Nine,Indie Champions,All 4 Games,06/Fev/2020,,[2902]
夕鬼 零 Yuoni: Rises,,Tricore,06/Fev/2020,,[2903]
Kitty Powers' Matchmaker,Magic Notion,Magic Notion,07/Fev/2020,,[2904]
Super Korotama,Catness Game,Catness Game,07/Fev/2020,,[2905]
Bridge Builder Adventure,BoomBit Games,BoomBit Games,07/Fev/2020,,[2906]
Zero Zero Zero Zero,Alvarop Games,Ratalaika Games,07/Fev/2020,,[2907]
Marooners,M2H,M2H,07/Fev/2020,,[2908]
The Town of Light: Deluxe Edition,LKA.it,Wired Productions,07/Fev/2020,,[2909]
The Turing Test,Bulkhead Interactivea,Square Enix Europe LTD,07/Fev/2020,,[2910]
Crash Drive 2,M2H,M2H,07/Fev/2020,,[2911]
Rune Lord,Alawar \ Adept Studios,Victory Road,07/Fev/2020,,[2912]
EQQO,Parallel Studio,Nakana.io,07/Fev/2020,,[2913]
ELEA: Paradigm Shift,Kyodai,Kyodai,08/Fev/2020,,[2914]
Little Bit War,Ruten no oheya,Mediascape,09/Fev/2020,,[2915]
Help Me Doctor,IceTorch Interactive,Ultimate Games,10/Fev/2020,,[2916]
Cosmonauta,QUByte Interactive,QUByte Interactive,11/Fev/2020,,[2917]
AO Tennis 2,Big Ant Studios,Bigben Interactive,11/Fev/2020,,[2918]
Thief Town,,Skymap Games,11/Fev/2020,,[2919]
Tilt Pack,NAVEL,NAVEL,11/Fev/2020,,[2920]
Top Run,Katata Games,Fantastico Studio,12/Fev/2020,,[2921]
Rise of Insanity,Red Limb Studio,Pineapple Works,13/Fev/2020,,[2922]
Underhero,Paper Castle Games,Digerati,13/Fev/2020,,[2923]
Glass Masquerade 2: Illusions,,Digerati,13/Fev/2020,,[2924]
Go All Out!,Blue Sunset Games,Forever Entertainment,13/Fev/2020,,[2925]
Florence,Mountains,Annapurna Interactive,13/Fev/2020,,[2926]
Goblin Sword,Gelato Games,Gelato Games,13/Fev/2020,,[2927]
Super Loop Drive,Run-Down Games,Run-Down Games,13/Fev/2020,,[2928]
Reed Remastered,PXLink,Ratalaika Games,14/Fev/2020,,[2929]
Speedway Racing,Super PowerUp Games,Super PowerUp Games,14/Fev/2020,,[2930]
Speed Dating for Ghosts,Copychaser Games,Laundry Bear Games,14/Fev/2020,,[2931]
Snack World: The Dungeon Crawl - Gold,LEVEL-5,LEVEL-5,14/Fev/2020,,[2932]
The Incredible Adventures of Super Panda,Chaos Rift Entertainment,Ultimate Games,14/Fev/2020,,[2933]
Darksiders Genesis,Airship Syndicate,THQ Nordic,14/Fev/2020,,[2934]
Project Starship,eastasiasoft \ Panda Indie Studios,eastasiasoft,14/Fev/2020,,[2935]
Kitty Maestro,Tackorama,Tackorama,14/Fev/2020,,[2936]
Warface,,My.com B.V.,18/Fev/2020,F2P,[2937]
Psikyo Shooting Stars Bravo,,NIS America,18/Fev/2020,,[2938]
3000th Duel,Neopopcorn,Neopopcorn,19/Fev/2020,,[2939]
The Adventures of 00 Dilly,Caipirinha Games,Toplitz Productions,20/Fev/2020,,[2940]
Corridor Z,Mass Creation,Mass Creation,20/Fev/2020,,[2941]
Double Dragon & Kunio-kun: Retro Brawler Bundle,Arc System Works,Arc System Works,20/Fev/2020,,[2942]
A Sound Plan,Studio Kumiho,Studio Kumiho,20/Fev/2020,,[2943]
Escape First,OnSkull Games,OnSkull Development,20/Fev/2020,,[2944]
Fred3ric,Forever Entertainment,Forever Entertainment,20/Fev/2020,,[2945]
Oddmar,MobGe,MobGe,20/Fev/2020,,[2946]
Devil May Cry 3 Special Edition,Capcom,Capcom,20/Fev/2020,,[2947]
Vitamin Connection,WayForward Technologies,WayForward,20/Fev/2020,,[2948]
Katana Kami: A Way of the Samurai Story,,Spike Chunsoft US,20/Fev/2020,,[2949]
Uncharted Tides: Port Royal,Artifex Mundi,Artifex Mundi,20/Fev/2020,,[2950]
Lines XL,Hook.gg,Nestor Yavorskyy,20/Fev/2020,,[2951]
Blood will be Spilled,Attu Games,Attu Games,20/Fev/2020,,[2952]
Under Night In-Birth Exe:Late[cl-r],Arc System Works \ FRENCH-BREAD,Aksys Games,20/Fev/2020,,[2953]
Sudoku Relax 4 Winter Snow,G-MODE,G-MODE,20/Fev/2020,,[2954]
Otherworldly,Ultimate Games,Ultimate Games,21/Fev/2020,,[2955]
Blood Breed,,Cool Small Games,21/Fev/2020,,[2956]
Ciel Fledge: A Daughter Raising Simulator,Studio Namaapa,Pqube,21/Fev/2020,,[2957]
Brief Battles,JUICY CUPCAKE,JUICY CUPCAKE,21/Fev/2020,,[2958]
Knightin'+,,Ratalaika Games,21/Fev/2020,,[2959]
Last Encounter,Exordium Games,Silesia Games,21/Fev/2020,,[2960]
Ego Protocol: Remastered,Static Dreams \ No Gravity Development,No Gravity Games,21/Fev/2020,,[2961]
Dark Tower: RPG Dungeon Puzzle,,PrimeBit Games,21/Fev/2020,,[2962]
Tower of Babel - no mercy,DNA Studios,DNA Studios,21/Fev/2020,,[2963]
Fishing Adventure,Ultimate Games,Ultimate Games,21/Fev/2020,,[2964]
Ubermosh: Omega,,QUByte Interactive,21/Fev/2020,,[2965]
King Lucas,,Hidden Trap,21/Fev/2020,,[2966]
No Time to Relax,,Porcelain Fortress,24/Fev/2020,,[2967]
MathLand,Artax Games,Artax Games,24/Fev/2020,,[2968]
Battlesloths,Invisible Collective,Invisible Collective,27/Fev/2020,,[2969]
Two Point Hospital,Two Point Studios,Sega,25/Fev/2020,,[2970]
The Unholy Society,CAT-astrophe Games,CAT-astrophe Games,25/Fev/2020,,[2971]
Hayfever,Pixadome,Zordix,25/Fev/2020,,[2972]
Samurai Shodown,,SNK,25/Fev/2020,,[2973]
Mega Man Zero/ZX Legacy Collection,Capcom,Capcom,25/Fev/2020,,[2974]
Farmer Sim 2020,OviLex Soft,SC Ovilex Soft,25/Fev/2020,,[2975]
Rune Factory 4 Special,,Marvelous (XSEED),25/Fev/2020,BR,[2976]
Arcade Fuzz,QUByte Interactive,QUByte Interactive,25/Fev/2020,,[2977]
Vasilis,Sometimes You,Sometimes You,26/Fev/2020,,[2978]
One Finger Death Punch 2,Silver Dollar Games,Silver Dollar Games,26/Fev/2020,,[2979]
Edgar - Bokbok in Boulzac,La Poule Noire,La Poule Noire,26/Fev/2020,,[2980]
Tower Inferno,Digital Game Group,Digital Game Group,26/Fev/2020,,[2981]
"Puzzles for Toddlers & Kids: Animals, Cars and more",winterworks,winterworks,26/Fev/2020,,[2982]
Portal Dogs,Kolja Lubitz,Kolja Lubitz,26/Fev/2020,,[2983]
Served!,Chromatic Room,Light Maze,27/Fev/2020,,[2984]
Boulder Dash 30th Anniversary,,,27/Fev/2020,,[2985]
MX Nitro: Unleashed,Saber Interactive Incorporated,Mad Dog Games,27/Fev/2020,,[2986]
Wanderlust Travel Stories,Different Tales,Forever Entertainment,27/Fev/2020,,[2987]
Dual Brain Vol.3: Shapes,D-O,D-O,27/Fev/2020,,[2988]
Kemono Heroes,,NIS America,27/Fev/2020,,[2989]
Madoris R,,CAERUX,27/Fev/2020,,[2990]
Hero must die. again,DEGICA,DEGICA,27/Fev/2020,,[2991]
Kingdom Rush Frontiers,,Ironhide Game Studio,27/Fev/2020,,[2992]
Voxelgram,Procedural Level,Procedural Level,27/Fev/2020,,[2993]
Soul Axiom Rebooted,Wales Interactive,Wales Interactive,27/Fev/2020,,[2994]
MouseCraft,Crunching Koalas,Crunching Koalas,27/Fev/2020,,[2995]
Heaven Dust,,indienova,27/Fev/2020,,[2996]
Frozen Friends,,Digital Game Group,28/Fev/2020,,[2997]
Grizzland,eastasiasoft \ Khud0,eastasiasoft,28/Fev/2020,,[2998]
Bucket Knight,Sometimes You,Sometimes You,28/Fev/2020,,[2999]
Ganbare! Super Strikers,,Ratalaika Games,28/Fev/2020,,[3000]
Depixtion,DevHour Games,DevHour Games,28/Fev/2020,,[3001]
Stab Stab Stab!,Sbug Games,Monster Couch,28/Fev/2020,,[3002]
Bloodroots,Paper Cult,Paper Cult,28/Fev/2020,BR,[3003]
Profane,OverPowered Team,AlternativeSoftware,28/Fev/2020,,[3004]
Metro 2033 Redux,4A Games,Koch Media,28/Fev/2020,,[3005][3006]
Metro: Last Light Redux,4A Games,Koch Media,28/Fev/2020,,[3007][3006]
Spartan Fist,,JanduSoft,28/Fev/2020,,[3008]
Ski Sniper,,Ultimate Games,28/Fev/2020,,[3009]
Skull Rogue,,Drageus Games,28/Fev/2020,,[3010]
BE-A Walker,,SONKA,28/Fev/2020,,[3011]
LocO-SportS,,Jorge Biedma Azuar,28/Fev/2020,,[3012]
Flight Sim 2019,OviLex Soft,SC Ovilex Soft,29/Fev/2020,,[3013]
AvoCuddle,,Ultimate Games,02/Mar/2020,,[3014]
The Story Goes On,Scarecrow Arts,Scarecrow Arts,02/Mar/2020,,[3015]
Amoeba Battle - Microscopic RTS Action,,Grab,03/Mar/2020,,[3016]
Syrup and The Ultimate Sweet,NomnomNami,Ratalaika Games,04/Mar/2020,,[3017]
I am Ball,,ManolidisAimilios,04/Mar/2020,,[3018]
Lost Horizon,Animation Arts Creative,Koch Media,04/Mar/2020,,[3019]
Baron: Fur Is Gonna Fly,DM Games Pty,DM Games Pty,04/Mar/2020,,[3020]
ibb & obb,Sparpweed,Sparpweed,05/Mar/2020,,[3021]
Kairobotica,,Kairosoft,05/Mar/2020,,[3022]
Wunderling,Retroid Interactive,Retroid Interactive,05/Mar/2020,,[3023]
Unlock The King,,QUByte Interactive,05/Mar/2020,,[3024]
Darts,,Sabec,05/Mar/2020,,[3025]
"Dude, Stop",Team HalfBeard,Team HalfBeard,05/Mar/2020,,[3026]
Murder by Numbers,Mediatonic,The Irregular Corporation,05/Mar/2020,,[3027]
Breeder Homegrown: Director's Cut,Sometimes You,Sometimes You,06/Mar/2020,,[3028]
Troubleshooter,Kodobur Yazilim,Kodobur Yazilim,06/Mar/2020,,[3029]
Swordbreaker The Game,,Drageus Games,06/Mar/2020,,[3030]
Pokémon Mystery Dungeon: Rescue Team DX,Game Freak,Nintendo,06/Mar/2020,BR,[3031]
Save Koch,Wooden Monkeys,OverGamez,06/Mar/2020,,[3032]
Afterparty,"Night School Studio, LLC",Night School,06/Mar/2020,,[3033]
Welcome to Primrose Lake,SQRT3,QubicGames,07/Mar/2020,,[3034]
Talisman: Digital Edition,Nomad Games,Nomad Games,09/Mar/2020,,[3035]
Langrisser I & II,,NIS America,10/Mar/2020,,[3036]
Hidden Through Time,Crazy Monkey Studios,Crazy Monkey,12/Mar/2020,,[3037]
Mystic Vale,Nomad Games,Nomad Games,12/Mar/2020,,[3038]
Poly Puzzle,Forever Entertainment,Forever Entertainment,12/Mar/2020,,[3039]
NinNinDays,,qureate,12/Mar/2020,,[3040]
Neon City Riders,Mecha Studios,Bromio,12/Mar/2020,,[3041]
A Street Cat's Tale,,CFK,12/Mar/2020,,[3042]
Half Past Fate,Serenity Forge,Way Down Deep,12/Mar/2020,,[3043]
inbento,Afterburn,7Levels,12/Mar/2020,,[3044]
Hidden in Plain Sight,Adam Spragg Games,Adam Spragg Games,12/Mar/2020,,[3045]
Video Poker - Ace's Casino,,Digital Game Group,12/Mar/2020,,[3046]
Brotherhood United,Myoubouh,Silesia Games,12/Mar/2020,,[3047]
Dead or School,Studio Nanafushi,MarvelousAQL,13/Mar/2020,,[3048]
Yoga Master,My World,My World,13/Mar/2020,,[3049]
Super Destronaut: Land Wars,Petite Games,Ratalaika Games,13/Mar/2020,,[3050]
Trancelation,Mythic Owl,Baltoro Games,13/Mar/2020,,[3051]
Stela,Skybox Labs,Skybox Labs,13/Mar/2020,,[3052]
"Jump, Step, Step",Phung Games,Hidden Trap,13/Mar/2020,,[3053]
Syder Reloaded,Studio Evil,Studio Evil,13/Mar/2020,,[3054]
My Hero Ones Justice 2,Byking,Bandai Namco Entertainment,13/Mar/2020,,[3055]
Roundguard,Wonderbelly Games,The Quantum Astrophysicists Guild,13/Mar/2020,,[3056]
Rack N Ruin,LifeSpark Entertainment,Secret Item Games,13/Mar/2020,,[3057]
Alder's Blood,,No Gravity Games,13/Mar/2020,,[3058]
"Rainbows, toilets & unicorns",,Fantastico Studio,13/Mar/2020,,[3059]
This Strange Realm Of Mine,,Doomster Entertainment,16/Mar/2020,,[3060]
Super Bit Blaster XL,Nickervision Studios,Nickervision Studios,16/Mar/2020,,[3061]
Travel Mosaics 2: Roman Holiday,,JetDogs,16/Mar/2020,,[3062]
Deep Diving Adventures,Jujubee,Jujubee,16/Mar/2020,,[3063]
Exit the Gungeon,Dodge Roll,Devolver Digital,17/Mar/2020,BR,[3064]
La Mulana,,NIS America,17/Mar/2020,,[3065]
La Mulana 2,,NIS America,17/Mar/2020,,[3066]
Sky Racket,Double Dash Studios,Double Dash Studios,17/Mar/2020,BR,[3067]
Knight Swap,QUByte Interactive,QUByte Interactive,17/Mar/2020,,[3068]
Overpass,Zordix Racing,Bigben Interactive,17/Mar/2020,,[3069]
R.B.I. Baseball 20,Major League Baseball,MLBAM,17/Mar/2020,,[3070]
Explosive Jake,Sometimes You,Sometimes You,18/Mar/2020,,[3071]
Top Speed: Drag & Fast Racing,,T-Bull,18/Mar/2020,,[3072]
Beyond Enemy Lines: Essentials,,Polygon Art,19/Mar/2020,,[3073]
Red Death,eastasiasoft \ Panda Indie Studios,eastasiasoft,19/Mar/2020,,[3074]
Ghost Sweeper,,7 Raven Studios,19/Mar/2020,,[3075]
Factotum 90,DICO Co.,Rainy Frog,19/Mar/2020,,[3076]
The Secret Order: Shadow Breach,Artifex Mundi,Artifex Mundi,19/Mar/2020,,[3077]
Dezatopia,,Hanaji Games,19/Mar/2020,,[3078]
Silent World,,CFK,19/Mar/2020,,[3079]
Tennis Open 2020,Forever Entertainment,Forever Entertainment,19/Mar/2020,,[3080]
Ultimate Ski Jumping 2020,Blue Sunset Games,Forever Entertainment,19/Mar/2020,,[3081]
SeaBed,Paleontology,Fruitbat Factory,19/Mar/2020,,[3082]
Frosty Jump,,Dispatch Games,19/Mar/2020,,[3083]
Epic Word Search Collection,Lightwood Games,Lightwood Games,19/Mar/2020,,[3084]
Thunder Paw,Sergio Poverony,Ratalaika Games,20/Mar/2020,,[3085]
Quell Memento,Fallen Tree Games,Fallen Tree Games,20/Mar/2020,,[3086]
Diabolic,,Drageus Games,20/Mar/2020,,[3087]
Pocket Mini Golf,Vivid Games,QubicGames,20/Mar/2020,,[3088]
Lust for Darkness: Dawn Edition,SimFabric,SimFabric,20/Mar/2020,,[3089]
Breakfast Bar Tycoon,Baltoro Games,Baltoro Games,20/Mar/2020,,[3090]
Pooplers,Art Games Studio,Ultimate Games,20/Mar/2020,,[3091]
Animal Crossing: New Horizons,Nintendo,Nintendo,20/Mar/2020,BR,[3092]
Doom 64,"id Software, Nightdive Studios",Bethesda Softworks,20/Mar/2020,,[3093]
Mist Hunter,Flox Studios,Flox Studios,20/Mar/2020,,[3094]
Rhythm of the Gods,Lyrelark,Nellyvision,23/Mar/2020,,[3095]
Bug Academy,Igrek Games,Ultimate Games,23/Mar/2020,,[3096]
Bohemian Killing,The Moonwalls,Ultimate Games,23/Mar/2020,,[3097]
Hyperspace Delivery Service,Zotnip Games,Zotnip Games,24/Mar/2020,,[3098]
Colorgrid,,QUByte Interactive,24/Mar/2020,,[3099]
Vampire: The Masquerade - Coteries of New York,Draw Distance,Draw Distance,24/Mar/2020,,[3100]
Deep Sky Derelicts: Definitive Edition,Snowhound Games,1C Entertainment,24/Mar/2020,,[3101]
Dogurai,QUByte Interactive,QUByte Interactive,24/Mar/2020,,[3102]
Nirvana Pilot Yume,,RedDeerGames,25/Mar/2020,,[3103]
Mekorama,Martin Magni \ Ratalaika Games,Rainy Frog,26/Mar/2020,,[3104]
One Step From Eden,Thomas Moon Kang,Humble Bundle,26/Mar/2020,,[3105]
Ara Fell: Enhanced Edition,Stego Soft,Dangen Entertainment,26/Mar/2020,,[3106]
